Number,Genebank,Genebank ID,Species code,Species,GPS,GPS,GPS,GPS,Place,Province,COUNTRY,Description,Date of collecton,Elevation,Ploidy
336,CGN,18325,CPH,cardiophyllum,NULL,NULL,NULL,NULL,E. Michoacan,NULL,MEX,NULL,NULL,NULL,24
337,CGN,18326,CPH,cardiophyllum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,24
338,CGN,18248,CHC,chacoense,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
339,CGN,18060,CHP,chaparense,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
340,CGN,18127,QUM,circaeifolium quimense,-17.05,1703S,"-672,833",06717W,D. La Paz,P. Inquisivi,BOL,88 km from Panduro to Quime (10 km before Quime),2/24/1980,3310,24
341,CGN,18128,QUM,circaeifolium quimense,"-168,333",1650S,"-672,666",06716W,D. La Paz,P. Inquisivi,BOL,25 km from Inquisivi to Circuata,2/25/1980,2810,24
342,CGN,18313,DMS,demissum,"240,333",2402N,"-104,683",10441W,E. Durango,NULL,MEX,Durango,NULL,NULL,72
343,CGN,17820,DMS,demissum,19.15,1909N,"-999,333",09956W,E. Mexico,NULL,MEX,"38 km from the main Toluca-Morelia road, towards Valle de Bravo",10/2/1958,2750,72
344,CGN,20571,DMS,demissum,"155,166",1531N,"-914,833",09129W,D. Huehuetenango,NULL,GTM,"Sierra de los Cuchumatanes, 28 miles from Huehuetenango",10/30/1958,3500,72
345,CGN,17810,DMS,demissum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,72
346,CGN,20560,GND,gandarillasii,"-183,333",1820S,"-651,666",06510W,D. Cochabamba,P. Campero,BOL,20 km from Aiquile to Sucre,3/11/1959,2200,24
347,CGN,17851,GRL,gourlayi,"-225,166",2231S,"-651,166",06507W,P. Salta,D. Santa Victoria,ARG,Rio Nazareno,NULL,3050,24
348,CGN,18290,GRR,guerreroense,19.65,1939N,"-103,633",10338W,E. Jalisco,NULL,MEX,"Near Sayulapa, slopes of Volcan de Nevada",12/18/1947,NULL,72
349,CGN,17717,HJT,hjertingii,"254,166",2525N,-100.85,10051W,E. Coahuila,NULL,MEX,"Near Saltillo, Municipio Artiaga, Canon de los Lirios, Chupadero",10/12/1949,2000,48
350,CGN,17718,HJT,hjertingii,"254,166",2525N,-101,10100W,E. Coahuila,NULL,MEX,"Saltillo.  School of Agriculture, about 5 miles S of Saltillo",8/23/1958,1760,48
351,CGN,18106,HDM,hondelmannii,-19.1,1906S,"-652,333",06514W,D. Chuquisaca,P. Oropeza,BOL,"Tacos, 12 km from Sucre to Zudanez",3/26/1974,2900,24
352,CGN,18182,SPEC,species,"-192,166",1913S,"-658,333",06550W,D. Potosi,P. Frias,BOL,2 km from Tinguipaya to Potosi,2/28/1980,3180,24
353,CGN,18306,HCB,huancabambense,-5.4,0524S,-79.6,07936W,D. Piura,P. Huancabamba,PER,Km 22 Huancabamba to Canchaque (Jusgara),6/16/1974,2500,24
354,CGN,17719,HCB,huancabambense,"-52,333",0514S,"-794,666",07928W,D. Piura,P. Huancabamba,PER,Causol,NULL,1800,24
355,CGN,18349,JAM,jamesii,NULL,NULL,NULL,NULL,E. New Mexico,NULL,USA,Arizona and New Mexico,NULL,NULL,24
356,CGN,18174,LPH,leptophyes,"-184,333",1826S,"-664,333",06626W,D. Potosi,P. Bustillos,BOL,24 km from Uncia to Chayanta and Amayapampa,2/20/1980,3600,24
357,CGN,18140,LPH,leptophyes,"-165,333",1632S,-68.1,06806W,D. La Paz,P. Murillo,BOL,Below la paz on road to palca (ovejuyo) near inst. nac. de biologia animal,3/12/1980,3570,24
358,CGN,18337,LES,lesteri,"162,833",1617N,-96.55,09633W,E. Oaxaca,NULL,MEX,Miahuatlan.  25.8 km S of Miahuatlan on the Oaxaca-Puerto Angel road,10/19/1958,2300,24
359,CGN,18064,MAG,maglia,NULL,NULL,NULL,NULL,P. Valparaiso,NULL,CHL,"Olmue, Granizo",3/30/1956,100,24
360,CGN,17596,MCD,microdontum,"-232,166",2313S,"-649,166",06455W,P. Salta,D. Oran,ARG,"Sa de Zenta, Santa Cruz",4/1/1972,3000,24
361,CGN,18046,GIG,microdontum gigantophyllum,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
362,CGN,18083,GIG,microdontum gigantophyllum,-24.9,2454S,-65.65,06539W,P. Salta,D. Rosario de Lerma,ARG,"Quebrada del Toro, Virrey Toledo, ruta nac.51, km 35.5,",4/5/1974,1600,24
363,CGN,17824,MLT,multidissectum,-11.75,1145S,"-754,666",07528W,D. Junin,P. Huancayo,PER,32 km towards Tarma from Huancayo,4/11/1953,4000,24
364,CGN,17829,DMS,demissum,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
365,CGN,18000,VNT,venturii,"-236,333",2338S,-65.1,06506W,P. Jujuy,D. Tilcara,ARG,"piscuno, por la senda de casa colorada a molulo. a 10 m de oka 4391",3/23/1972,3200,24
366,CGN,18109,VNT,venturii,"-251,666",2510S,"-658,333",06550W,P. Salta,D. Chicoana,ARG,"Cuesta del Obispo, Quebrada La Sirena , 4km arriba pie de la cuesta, ruta59",4/8/1974,2600,24
367,CGN,18108,VNT,venturii,-25.15,2509S,"-658,333",06550W,P. Salta,D. Chicoana,ARG,"Nacional route 59, km 50.6, 10 km W of Hosteria El Maray",4/4/1973,3100,24
368,CGN,17998,VNT,venturii,NULL,NULL,NULL,NULL,P. Jujuy,D. Tilcara,ARG,"Piscuno, Casa Colorada-Molulo road",NULL,NULL,24
369,CGN,17830,PTA,papita,24.95,2457N,-103.9,10354W,E. Durango,NULL,MEX,"Near Hacienda Otinapa, Ranche Alamito, high valley of Rio Chico",9/11/1958,2300,48
370,CGN,17832,PTA,papita,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,48
371,CGN,17667,PHU,phureja,NULL,NULL,NULL,NULL,D. Cauca,NULL,COL,NULL,NULL,NULL,24
372,CGN,18301,PHU,phureja,NULL,NULL,NULL,NULL,NULL,NULL,COL,NULL,NULL,NULL,24
373,CGN,18315,PHU,phureja,NULL,NULL,NULL,NULL,NULL,NULL,ECU,NULL,NULL,NULL,24
374,CGN,17745,PNT,pinnatisectum,"206,666",2040N,"-103,333",10320W,E. Jalisco,NULL,MEX,29 miles from Guadalajara on the road to Mexico City,9/15/1958,1600,24
375,CGN,17743,PNT,pinnatisectum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,24
376,CGN,17749,PLD,polyadenium,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,24
377,CGN,17746,PLD,polyadenium,19.7,1942N,"-101,116",10107W,E. Michoacan,NULL,MEX,"Mount Punguato, Morelia",9/9/1962,2200,24
378,CGN,17750,PLT,polytrichon,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,48
379,CGN,17751,PLT,polytrichon,"227,833",2247N,"-102,583",10235W,E. Zacatecas,NULL,MEX,8 miles from Zacatecas on the road to Durango,9/9/1958,2350,48
380,CGN,17598,RAP,raphanifolium,"-134,333",1326S,-71.85,07151W,D. Cusco,P. Calca,PER,"Intihuatana Ruins, up from Pisac",4/24/1953,3350,24
381,CGN,17753,SPEC,species,"-135,166",1331S,"-719,833",07159W,D. Cusco,P. Quispicanchis,PER,Sacsayhuaman ruins,4/17/1959,3520,24
382,CGN,18225,SPL,sparsipilum,"-173,833",1723S,"-661,666",06610W,D. Cochabamba,P. Cercado,BOL,On the grounds of the University of Cochabamba,3/17/1980,2560,24
383,CGN,18230,SPL,sparsipilum,"-176,166",1737S,"-663,166",06619W,D. Cochabamba,P. Capinota,BOL,"Charamoco, S 1 km from the village",3/29/1980,2400,24
384,CGN,18154,SPL,sparsipilum,-16.55,1633S,"-690,166",06901W,D. La Paz,P. Ingavi,BOL,2.5 km from Desaguadero to Guaqui,3/22/1980,3790,24
385,CGN,17759,SPG,spegazzinii,"-272,333",2714S,-66.25,06615W,P. Catamarca,D. Andalgala,ARG,"Route 63, between Santa Maria and Andalgala, Ingenion Arenala",2/17/1966,2800,24
386,CGN,17839,SPG,spegazzinii,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
387,CGN,18351,STN,stenotomum,NULL,NULL,NULL,NULL,NULL,NULL,COL,NULL,NULL,NULL,24
388,CGN,20616,STN,stenotomum,"-183,333",1820S,-67.6,06736W,D. Oruro,P. Carangas,BOL,"39km from Toledo to Corque, near Hauko Kcale.",3/27/1980,3750,24
389,CGN,17605,STO,stoloniferum,19.7,1942N,"-101,116",10107W,E. Michoacan,NULL,MEX,Cerro de Punguato,8/5/1965,2400,48
390,CGN,18332,STO,stoloniferum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,48
391,CGN,18205,SCR,sucrense,"-201,333",2008S,"-654,833",06529W,D. Potosi,P. Nor Chichas,BOL,90 km from Cotagaita to Potosi via Vitiche,4/1/1980,3030,48
392,CGN,17861,TAR,tarijense,"-251,833",2511S,-65.8,06548W,P. Salta,D. Chicoana,ARG,"2 km above de Escoipe, route 59. Pasando el Vado del RÃ­o Escoipe",4/8/1974,2100,24
393,CGN,17768,VER,verrucosum,"192,833",1917N,-98.05,09803W,E. Tlaxcala,NULL,MEX,Above San Diego de Pinar. mt.Malinche,10/12/1938,2900,24
394,CGN,18121,SPEC,species,"-162,666",1616S,"-679,666",06758W,D. La Paz,P. Sud Yungas,BOL,44 km from toll-block La Paz to Unduavi (Unduavi Junction),2/19/1980,3250,24
395,CGN,18144,ADG x CUR,ADG x CUR,-17.65,1739S,"-675,166",06731W,D. Oruro,P. Cercado,BOL,6km from Eucaliptus to La Joya (along Rio Desaguadero).,3/14/1980,3700,48
396,CGN,18149,ADG x CUR,ADG x CUR,"-178,833",1753S,"-670,333",06702W,D. Oruro,P. Cercado,BOL,"23km from Caihuasi to Oruro, 3km after Paria.",3/19/1980,3780,48
397,CGN,18134,ADG x CUR,ADG x CUR,-15.55,1533S,"-690,833",06905W,D. La Paz,P. Camacho,BOL,15km from Escoma to Italaque (Chicoma village).,3/6/1980,3900,48
398,CGN,962564,ADG x SCR,ADG x SCR,NULL,NULL,NULL,NULL,D. Potosi,P. Nor Chichas,BOL,2km from Cotagaita on road to Atocha,4/3/1974,3200,48
399,CGN,NULL,ADG x SCR,ADG x SCR,NULL,NULL,NULL,NULL,D. Chuquisaca,P. Sud Cinti,BOL,15km E of Culpina on road from San Pedro to Incahuasi.,NULL,2925,48
400,CGN,21355,ADG x SCR,ADG x SCR,NULL,NULL,NULL,NULL,D. Potosi,P. Nor Chichas,BOL,49km from Tupiza to Cotagaita (East branch),4/17/1974,NULL,48
401,CGN,18191,ARZ x HDM,ARZ x HDM,"-192,166",1913S,"-644,833",06429W,D. Chuquisaca,P. Jaime Mendoza,BOL,54km from Zudanez to Padilla,3/9/1980,2040,24
402,CGN,18229,BER x SPL,BER x SPL,"-175,666",1734S,"-663,833",06623W,D. Cochabamba,P. Capinota,BOL,2 km from Parotani on the road to Capinota (1 km from the new road),3/29/1980,2450,24
403,CGN,962403,BRC x SPL,BRC x SPL,"-174,833",1729S,"-652,666",06516W,D. Cochabamba,P. Carrasco,BOL,"106km from Cochabamba to Santa Cruz, Escalante",2/21/1980,2950,24
404,CGN,962443,BRC x SPL,BRC x SPL,"-173,166",1719S,"-661,666",06610W,D. Cochabamba,P. Cercado,BOL,"road through Parque de Tunari, Cerro Tunari, 17-18 km from park entrance",3/14/1980,3750,24
405,CGN,20619,LPH x SPL,LPH x SPL,-18.38,NULL,-66.57,NULL,NULL,NULL,,"farm (Finke St. Helena), 5km from Plazna to Lago Poopo.",NULL,NULL,24
406,CGN,18250,MAG x MCD,MAG x MCD,NULL,NULL,NULL,NULL,P. Mendoza,NULL,ARG,Q. Alvarado,NULL,1500,24
407,CGN,NULL,OPL x TBR,OPL x TBR,-22.06,22.06 S,-65.28,065.28 W,P. Jujuy,D. Yavi,ARG,NULL,NULL,3400,48
408,CGN,20632,PTR x LPH,PTR x LPH,"-196,666",1940S,"-655,333",06532W,D. Potosi,P. Linares,BOL,54km from Potosi to Puna via Chaqui,3/3/1980,3300,24
409,CGN,962183,PTR x LPH,PTR x LPH,-19.45,1927S,"-658,166",06549W,D. Potosi,P. Frias,BOL,"Cayara village, 25km from Potosi on the old road to Oruro",3/4/1980,3380,24
410,CGN,960058,RAP x SPL,RAP x SPL,NULL,NULL,NULL,NULL,D. Cusco,P. Cusco,PER,"Cachona, 7 km from Cusco",4/16/1959,3200,24
411,CGN,20658,RCH x MCD,RCH x MCD,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
412,CGN,962507,SCR x OPL,SCR x OPL,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,48
413,CGN,18142,SPL x LPH,SPL x LPH,-16.55,1633S,-68.1,06806W,D. La Paz,P. Murillo,BOL,"from La Paz to Mecapaca, Aranjuez, 1km past Inst. Biblico Nazareno, garden of Vivera Forestal",3/13/1980,3190,24
414,CGN,960960,SPL x SCR,SPL x SCR,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
415,CGN,961703,spp,species,-8.25,0815S,"-780,166",07801W,D. Ancash,P. Pallasca,PER,"Near Consuzo, Cerro Huaura, minas de Huaura, San Luis",3/26/1964,4000,24
416,CGN,20580,SPEC,species,NULL,NULL,NULL,NULL,D. Lima,NULL,PER,Valley Chillon River,NULL,1150,24
417,CGN,961753,spp,species,NULL,NULL,NULL,NULL,D. Lima,NULL,PER,Zarate forest above Lima,NULL,2700,NULL
418,CGN,962468,TAR x ARZ,TAR x ARZ,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
419,CGN,960084,TAR x MCD,TAR x MCD,NULL,NULL,NULL,NULL,D. Potosi,P. Frias,BOL,near Potosi,3/1/1959,4100,24
420,CGN,961955,VIO x YUN,VIO x YUN,"-163,166",1619S,-67.85,06751W,D. La Paz,P. Sud Yungas,BOL,62km from Chulumani to La Paz,2/22/1980,2480,24
421,CGN,18124,VIO x YUN,VIO x YUN,"-162,666",1616S,"-679,166",06755W,D. La Paz,P. Sud Yungas,BOL,"61km from Chulamani to La Paz, Tresmarias",2/22/1980,2400,24
422,CGN,20656,WBR x YUN,WBR x YUN,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,24
423,CGN,18357,ABN,abancayense,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
424,CGN,18179,ACL,acaule,"-188,333",1850S,"-658,833",06553W,D. Potosi,P. Chayanta,BOL,4 km from Ocuri to Colquechaca,2/23/1980,3780,48
425,CGN,18203,ACL,acaule,"-216,333",2138S,-65.05,06503W,D. Tarija,P. Aviles,BOL,79 km far from Tarija on road to Villacon,3/31/1980,3650,48
426,CGN,962297,ACL,acaule,-17.3,1718S,"-661,666",06610W,D. Cochabamba,P. Cercado,BOL,"Sierra de Tunari, near Lake Huara Huara, at the end of the road",3/14/1980,4000,48
427,CGN,22768,ACL,acaule,"-171,666",1710S,-66.5,06630W,D. Cochabamba,P. Ayopaya,BOL,"34 km from turning off Morochata-Cochabamba road to Cocapata, Viscachas",4/3/1980,4000,48
428,CGN,18068,ACL,acaule,"-224,333",2226S,"-661,833",06611W,P. Jujuy,D. Rinconada,ARG,"Rinconada, en la plazita a la escuela",4/2/1974,3950,48
429,CGN,22332,ACL,acaule,-28.7,2842S,"-678,333",06750W,P. La Rioja,D. Famatina,ARG,"Sierra de Famatina, Puesto de La Cienaga Grande",2/8/1972,3100,48
430,CGN,21328,ACL,acaule,"-235,833",2335S,-65.2,06512W,P. Jujuy,D. Tilcara,ARG,"Piedra Rosada, Casa Colorado, by the Ventura River",3/21/1972,4000,48
431,CGN,17930,ACL,acaule,"-244,833",2429S,"-662,166",06613W,P. Salta,D. La Poma,ARG,"Negra Muerta, route 40, 10 km S of Abray Acay. 500m. abajo de OKA 4834",3/21/1973,4300,48
432,CGN,22359,ACL,acaule,"-267,833",2647S,-65.75,06545W,P. Tucuman,D. Tafi del Valle,ARG,"road Santa Maria - Tafi, Quebrada Honda km 84",2/13/1959,2950,48
433,CGN,22763,ACL,acaule,"-171,833",1711S,"-684,833",06829W,D. La Paz,P. Pacajes,BOL,90 km from La Paz to Corocoro,3/24/1980,3960,48
434,CGN,21303,AEM,acaule aemulans,"-289,666",2858S,-67.7,06742W,P. La Rioja,D. Famatina,ARG,"Sierra Famatina, valley of Rio Amarillo above La Encrucijada",2/5/1966,3250,48
435,CGN,21330,AEM,acaule aemulans,-23.6,2336S,"-651,333",06508W,P. Jujuy,D. Tilcara,ARG,"Tembriojo, por la Senda Huairahuase a Molulo",3/22/1972,3500,48
436,CGN,21331,AEM,acaule aemulans,"-235,833",2335S,"-651,666",06510W,P. Jujuy,D. Tilcara,ARG,"Piedra Parada area, Morron del Carrascal.Cerca Encrucijada del Rio Ventura",3/24/1972,3700,48
437,CGN,23789,AEM,acaule aemulans,"-289,666",2858S,-67.7,06742W,P. La Rioja,D. Famatina,ARG,"Sierra de Famatina, La Encrucijada",3/14/1975,3050,48
438,CGN,20675,PAL,acaule palmirense,-2.15,0209S,"-787,166",07843W,P. Chimborazo,D. Palmira,ECU,"On Loma Mayocancha, at Estacion Experimental Paramo Moyocancha",5/11/1991,3750,72
439,CGN,20666,PNE,acaule punae,"-113,833",1123S,"-764,833",07629W,D. Lima,P. Canta,PER,Slopes above Cullhuay,3/7/1958,4050,48
440,CGN,960591,PNE,acaule punae,-11.6,1136S,"-753,666",07522W,D. Junin,NULL,PER,Km 34 between Jauja and Tarma,NULL,4100,48
441,CGN,20672,PNE,acaule punae,-12.85,1251S,-74.85,07451W,D. Huancavelica,P. Acobamba,PER,"Huancavelica to Lircay, km 26",NULL,4150,48
442,CGN,20665,PNE,acaule punae,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,48
443,CGN,20669,PNE,acaule punae,"-92,666",0916S,"-765,833",07635W,D. Huanuco,P. Huamalies,PER,"Luichocancha, district of Tantamayo",NULL,3700,48
444,CGN,18298,ACH,achacachense,NULL,NULL,NULL,NULL,La Paz,NULL,BOL,"Between Achacachi & Sorata, ~ 2km and ~3km towards Sorata from highest point on road.",NULL,3900,24
445,CGN,18251,ACH,achacachense,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
446,CGN,18252,ACH,achacachense,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
447,CGN,18253,ACH,achacachense,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
448,CGN,962654,ACG,acroglossum,-10,1000S,-76.5,07630W,D. Huanuco,P. Dos de Mayo,PER,Between Huanuco and Banos,NULL,2200,24
449,CGN,22730,ACS,acroscopicum,-15.2,1512S,"-729,333",07256W,D. Arequipa,P. Cotahuasi,PER,"Huambo, near Cotahuasi",NULL,3200,24
450,CGN,22356,AGF,agrimonifolium,"151,666",1510N,-91.95,09157W,D. San Marcos,NULL,GTM,"1.0 km NW of town square of Ixchiguan, on road to Tacana, ca 50 m N of road",9/24/1995,3380,48
451,CGN,962770,AGF,agrimonifolium,"148,666",1452N,-91.2,09112W,D. Solola,NULL,GTM,7.0 km west of the intersection of the road from Nahuala to Guatemala City,9/28/1995,3000,48
452,CGN,962793,AGF,agrimonifolium,"158,166",1549N,"-915,166",09131W,D. Huehuetenango,NULL,GTM,"24.3 km N of town square of Santa Eulalia, 5.5 km S of town square",10/26/1995,3020,48
453,CGN,18239,AJH,ajanhuiri,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
454,CGN,22389,AJH,ajanhuiri,NULL,NULL,NULL,NULL,NULL,NULL,BOL,Market La Paz,NULL,NULL,24
455,CGN,22349,ALN,alandiae,-17.75,1745S,-65.2,06512W,D. Cochabamba,P. Mizque,BOL,"148 km from Cochabamba on the old road to Sucre, 1 km before Totora",3/19/1980,2700,24
456,CGN,18258,ALN,alandiae,-18.7,1842S,-64.2,06412W,D. Santa Cruz,P. Valle Grande,BOL,"45 km from Valle grande to Pucara, over Pucara",3/1/1980,2650,24
457,CGN,962384,ALN,alandiae,"-186,833",1841S,"-641,833",06411W,D. Santa Cruz,P. Valle Grande,BOL,"42 km from Valle Grande on the road to Pucara, 5 km before Pucara",3/1/1980,2450,24
458,CGN,20651,ALN,alandiae,-17.9,1754S,-64.65,06439W,D. Santa Cruz,P. M.M. Caballero,BOL,"71 km from Mataral to Cochabamba, 1 km before Torrecillas",3/2/1980,2600,24
459,CGN,18260,ALN,alandiae,"-177,166",1743S,-65.1,06506W,D. Cochabamba,P. Carrasco,BOL,1 km above Totora on the road to Epizana,3/27/1980,2800,24
460,CGN,18264,ALN,alandiae,NULL,NULL,NULL,NULL,D. Cochabamba,P. Mizque,BOL,13-18 KM FROM MIZQUE TO ARANI,2/23/1980,NULL,24
461,CGN,20667,ALB,albicans,-7.05,0703S,-78.6,07836W,D. Cajamarca,NULL,PER,3.5 miles from the Entrance to Hacienda Porcon,NULL,3300,72
462,CGN,20670,ALB,albicans,"-82,833",0817S,-77.3,07718W,D. La Libertad,P. Santiago de Chuco,PER,San Jose farm,NULL,NULL,72
463,CGN,20663,ALB,albicans,"-98,666",0952S,-77.2,07712W,D. Ancash,P. Recuay,PER,Near mines of Tuco,NULL,4150,72
464,CGN,20674,ALB,albicans,-9.85,0951S,"-774,166",07725W,D. Ancash,P. Recuay,PER,Between Ticapampa and Conococha,NULL,4100,72
465,CGN,20668,ALB,albicans,"-105,666",1034S,-76.9,07654W,D. Lima,P. Cajatambo,PER,Pomaca between Oyon and Cajatambo,NULL,3650,72
466,CGN,22731,ABZ,albornozii,-4,0400S,"-792,166",07913W,P. Loja,C. Loja,ECU,Km 15 road  Loja  to  Catamayo,NULL,2700,24
467,CGN,18358,AMB,ambosinum,"-82,833",0817S,-77.3,07718W,D. La Libertad,P. Tayabamba,PER,Tayabamba,NULL,NULL,24
468,CGN,18354,AMB,ambosinum,"-102,166",1013S,"-761,333",07608W,D. Huanuco,NULL,PER,Between Ambo and San Rafael,NULL,NULL,24
469,CGN,18322,AMB,ambosinum,NULL,NULL,NULL,NULL,D. Pasco,P. Daniel Carrion,PER,Choccec,NULL,2800,24
470,CGN,17679,CHC,chacoense,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,24
471,CGN,962195,ARZ,arnezii,-19.3,1918S,-64.45,06427W,D. Chuquisaca,P. Jaime Mendoza,BOL,64 km from Zudanez to Padilla,3/9/1980,2140,24
472,CGN,18207,AST,astleyi,"-196,333",1938S,"-652,833",06517W,D. Potosi,P. Saavedra,BOL,11 km from turning point near Betanzos to Esquire,4/3/1980,3270,24
473,CGN,18209,AST,astleyi,"-196,333",1938S,"-652,833",06517W,D. Potosi,P. Saavedra,BOL,11 Km from turning point near Betanzos to Esquire,4/3/1980,3270,24
474,CGN,18210,AST,astleyi,"-196,333",1938S,"-652,833",06517W,D. Potosi,P. Saavedra,BOL,11 KM FROM TURNING POINT NEAR BETANZOS TO ESQUIRE,4/3/1980,3300,24
475,CGN,18211,AST,astleyi,"-196,333",1938S,"-652,833",06517W,D. Potosi,P. Saavedra,BOL,11 km from turning point near Betanzos to Esquire,4/3/1980,3300,24
476,CGN,18212,AST,astleyi,"-196,333",1938S,"-652,833",06517W,D. Potosi,P. Saavedra,BOL,11 km from turning point near Betanzos on road to Esquire,4/3/1980,3300,24
477,CGN,18255,AVL,avilesii,"-186,333",1838S,-64.15,06409W,D. Santa Cruz,P. Valle Grande,BOL,"26 km from Valle Grande on the road to Pucara, Aqua de Oro",3/1/1980,2850,24
478,CGN,18256,AVL,avilesii,"-186,333",1838S,-64.15,06409W,D. Santa Cruz,P. Valle Grande,BOL,28 km from Valle Grande on the road to Pucara,3/1/1980,2950,24
479,CGN,18257,AVL,avilesii,"-186,333",1838S,-64.15,06409W,D. Santa Cruz,P. Valle Grande,BOL,28 km from Valle Grande on the road to Pucara,3/1/1980,2850,24
480,CGN,18074,BER,berthaultii,"-195,333",1932S,"-652,666",06516W,D. Potosi,P. Saavedra,BOL,"Retiro, 78 km from Sucre to Potosi",3/28/1974,2950,24
481,CGN,18190,BER,berthaultii,"-194,333",1926S,-65.2,06512W,D. Potosi,P. Saavedra,BOL,94 km from Potosi to Sucre,3/5/1980,2650,24
482,CGN,20635,BER,berthaultii,"-193,833",1923S,"-647,833",06447W,D. Chuquisaca,P. Yamparaez,BOL,37 km from Tarabuco to Sotomayor via Icla,3/13/1980,2650,24
483,CGN,20636,BER,berthaultii,-18.75,1845S,"-651,333",06508W,D. Chuquisaca,P. Oropeza,BOL,51km from Sucre to Cachabamba,3/14/1980,1980,24
484,CGN,22715,BER,berthaultii,"-180,833",1805S,-65.15,06509W,D. Cochabamba,P. Mizque,BOL,18 km from Aiquile on the road to Misque,2/23/1980,2200,24
485,CGN,18216,BER,berthaultii,"-180,666",1804S,"-651,666",06510W,D. Cochabamba,P. Mizque,BOL,21 km from Aiquile on the road to Misque,2/23/1980,2180,24
486,CGN,22716,BER,berthaultii,"-179,166",1755S,"-659,166",06555W,D. Cochabamba,P. E. Arce,BOL,"Road from Snzaldo to Mollepujro at 15 km from Anzaldo, near Alfamayo",3/6/1980,2730,24
487,CGN,20645,BER,berthaultii,-17.9,1754S,"-659,166",06555W,D. Cochabamba,P. E. Arce,BOL,12.5 km along the road from Anzaldo to Mollepujro,3/6/1980,2875,24
488,CGN,18246,BER,berthaultii,-17.95,1757S,"-659,166",06555W,D. Cochabamba,P. E. Arce,BOL,"2.5 km below Mollepujro, Anzaldo-Mollepujro road",3/6/1980,2440,24
489,CGN,23804,BER,berthaultii,-17.95,1757S,"-659,166",06555W,D. Cochabamba,P. E. Arce,BOL,"Hacienda Mollepujro, 100 m from the house",3/7/1980,2560,24
490,CGN,18228,BER,berthaultii,"-175,666",1734S,"-663,833",06623W,D. Cochabamba,P. Capinota,BOL,"2 km from Parotani on the road to Capinota, (1 km from the new road)",3/29/1980,2450,24
491,CGN,22727,BER,berthaultii,"-229,666",2258S,-65.45,06527W,P. Jujuy,D. Humahuaca,ARG,station azul pampa,NULL,3600,24
492,CGN,960983,BER,berthaultii,NULL,NULL,NULL,NULL,D. Chuquisaca,P. Zudanez,BOL,road from Zudanez to Airampo via Calle-Calle,3/7/1959,2650,24
493,CGN,17823,BER,berthaultii,-17.4,1724S,-66.15,06609W,D. Cochabamba,P. Cercado,BOL,"Cochabamba, Cerro de San Pedro",3/12/1959,2570,24
494,CGN,18118,BER,berthaultii,-17.45,1727S,"-662,833",06617W,D. Cochabamba,P. Cercado,BOL,"Outskirts of Cochabamba town, Cerro de San Pedro",2/17/1980,2780,24
495,CGN,22711,BLV,boliviense,"-188,166",1849S,-65.65,06539W,D. Potosi,P. Chayanta,BOL,42 km from Ocuri to Ravelo,2/23/1980,3450,24
496,CGN,18196,BLV,boliviense,"-207,333",2044S,-64.85,06451W,D. Chuquisaca,P. Nor Cinti,BOL,61 km from Camargo to St. Elena,3/22/1980,2840,24
497,CGN,18208,BLV,boliviense,"-196,333",1938S,"-652,833",06517W,D. Potosi,P. Saavedra,BOL,11 km from turning point near Betanzos to Esquire,4/3/1980,3270,24
498,CGN,18070,BLV,boliviense,"-189,666",1858S,-65.35,06521W,D. Chuquisaca,P. Oropeza,BOL,Road from Sucre to Ravelo in the Vicinity of Guerraloma,3/25/1974,3050,24
